instance,capacity,total_demand,num_clientes,heuristic,local_search,cost,num_routes,time,gap,best_known,status,msg
instancias/2l-cvrp-0/E022-04g.dat,6000,22500,22,cw,relocate,387.543,4,0.000352583,,,ok,
instancias/2l-cvrp-0/E022-04g.dat,6000,22500,22,cw,both,384.267,4,0.000526416,,,ok,
instancias/2l-cvrp-0/E022-04g.dat,6000,22500,22,ni,none,240.3,4,7.2709e-05,,,infeasible,Solution infeasible or not all clients visited
instancias/2l-cvrp-0/E022-04g.dat,6000,22500,22,ni,swap,229.579,4,0.000272708,,,infeasible,Solution infeasible or not all clients visited
instancias/2l-cvrp-0/E022-04g.dat,6000,22500,22,ni,relocate,202.066,4,0.000280125,,,infeasible,Solution infeasible or not all clients visited
instancias/2l-cvrp-0/E022-04g.dat,6000,22500,22,ni,both,215.241,4,0.000483958,,,infeasible,Solution infeasible or not all clients visited
instancias/2l-cvrp-0/E022-04g.dat,6000,22500,22,grasp,none,255.344,4,0.450116,,,ok,
instancias/2l-cvrp-0/E030-03g.dat,4500,12750,30,cw,none,393.242,3,0.000263208,,,infeasible,Solution infeasible or not all clients visited
instancias/2l-cvrp-0/E030-03g.dat,4500,12750,30,cw,swap,393.242,3,0.000340042,,,infeasible,Solution infeasible or not all clients visited
instancias/2l-cvrp-0/E030-03g.dat,4500,12750,30,cw,relocate,393.242,3,0.000342417,,,infeasible,Solution infeasible or not all clients visited
instancias/2l-cvrp-0/E030-03g.dat,4500,12750,30,cw,both,393.242,3,0.0004455,,,infeasible,Solution infeasible or not all clients visited
instancias/2l-cvrp-0/E030-03g.dat,4500,12750,30,ni,none,367.703,3,8.1e-05,,,infeasible,Solution infeasible or not all clients visited
instancias/2l-cvrp-0/E030-03g.dat,4500,12750,30,ni,swap,336.901,3,0.000287542,,,infeasible,Solution infeasible or not all clients visited
instancias/2l-cvrp-0/E030-03g.dat,4500,12750,30,ni,relocate,325.786,3,0.00022375,,,infeasible,Solution infeasible or not all clients visited
instancias/2l-cvrp-0/E030-03g.dat,4500,12750,30,ni,both,312.648,3,0.000320459,,,infeasible,Solution infeasible or not all clients visited
instancias/2l-cvrp-0/E030-03g.dat,4500,12750,30,grasp,none,457.63,3,0.325774,,,ok,
instancias/2l-cvrp-0/E026-08m.dat,48,367,26,cw,none,576.884,8,0.0001825,,,infeasible,Solution infeasible or not all clients visited
instancias/2l-cvrp-0/E026-08m.dat,48,367,26,cw,swap,572.058,8,0.00173062,,,infeasible,Solution infeasible or not all clients visited
instancias/2l-cvrp-0/E026-08m.dat,48,367,26,cw,relocate,576.884,8,0.00171617,,,infeasible,Solution infeasible or not all clients visited
instancias/2l-cvrp-0/E026-08m.dat,48,367,26,cw,both,572.058,8,0.00322058,,,infeasible,Solution infeasible or not all clients visited
instancias/2l-cvrp-0/E026-08m.dat,48,367,26,ni,none,241.578,8,0.000116375,,,infeasible,Solution infeasible or not all clients visited
instancias/2l-cvrp-0/E026-08m.dat,48,367,26,ni,swap,207.462,8,0.00173367,,,infeasible,Solution infeasible or not all clients visited
instancias/2l-cvrp-0/E026-08m.dat,48,367,26,ni,relocate,201.204,8,0.00178429,,,infeasible,Solution infeasible or not all clients visited
instancias/2l-cvrp-0/E026-08m.dat,48,367,26,ni,both,188.89,8,0.00341575,,,infeasible,Solution infeasible or not all clients visited
